pais,region,tipo_propiedad,precio_usd,superficie_m2,habitaciones,banos
Perú,La Libertad,Departamento,206083,251,3,2
Perú,Lima,Casa,400029,258,1,2
Perú,Cusco,Casa,285845,286,1,2
Perú,Arequipa,Casa,47012,53,1,1
Perú,Cusco,Departamento,112000,124,4,1
Perú,La Libertad,Departamento,142221,215,1,1
Perú,Lima,Casa,178772,136,2,1
Perú,Lima,Departamento,239995,183,2,1
Perú,Cusco,Departamento,174398,187,2,1
Perú,Lima,Casa,121344,95,4,2
Perú,Cusco,Departamento,191591,230,2,1
Perú,Lima,Casa,88196,60,1,3
Perú,Lima,Departamento,122415,103,3,2
Perú,Lima,Casa,116146,82,3,3
Perú,Arequipa,Departamento,103848,130,1,3
Perú,Lima,Casa,319427,243,1,1
Perú,Lima,Departamento,274379,220,1,3
Perú,Lima,Casa,347349,278,3,2
Perú,Lima,Casa,98212,68,3,3
Perú,Piura,Departamento,105900,123,1,3
Perú,Lima,Casa,456127,265,3,1
Perú,La Libertad,Departamento,140933,167,4,1
Perú,Piura,Casa,215109,192,1,1
Perú,Cusco,Casa,63526,59,1,3
Perú,Arequipa,Casa,287682,299,3,1
Perú,Cusco,Departamento,152300,225,3,3
Perú,La Libertad,Departamento,178199,271,3,2
Perú,Arequipa,Departamento,55971,66,4,3
Perú,Arequipa,Departamento,135710,147,3,2
Perú,Cusco,Casa,84758,88,1,1
Perú,Cusco,Departamento,208871,259,1,2
Perú,La Libertad,Casa,106513,104,2,2
Perú,Lima,Departamento,217417,190,4,3
Perú,Lima,Casa,375296,293,1,1
Perú,Lima,Casa,376831,234,4,3
Perú,Lima,Casa,294494,202,4,1
Perú,Cusco,Departamento,41056,52,4,2
Perú,La Libertad,Casa,257419,239,4,1
Perú,Piura,Departamento,82353,122,1,3
Perú,Piura,Departamento,185874,278,2,3
Perú,La Libertad,Casa,140622,137,1,2
Perú,Lima,Casa,73805,53,4,1
Perú,Arequipa,Departamento,234785,292,2,3
Perú,Lima,Casa,297425,218,3,2
Perú,La Libertad,Casa,88511,96,1,3
Perú,Arequipa,Departamento,79560,110,3,2
Perú,Lima,Departamento,368553,265,3,2
Perú,Arequipa,Departamento,187533,288,4,2
Perú,La Libertad,Departamento,117836,154,3,1
Perú,La Libertad,Departamento,251867,275,1,3
Perú,Cusco,Departamento,125553,188,4,3
Perú,Lima,Departamento,178981,182,2,2
Perú,Piura,Casa,305842,254,1,1
Perú,Lima,Departamento,329706,273,3,2
Perú,Arequipa,Casa,155557,147,1,1
Perú,Cusco,Casa,233858,196,4,1
Perú,Lima,Casa,317499,218,1,1
Perú,Piura,Casa,269467,240,4,3
Perú,La Libertad,Departamento,84417,107,3,3
Perú,Lima,Casa,216943,156,3,3
Perú,Lima,Casa,438635,255,4,3
Perú,Lima,Departamento,106085,95,1,1
Perú,Lima,Casa,297117,237,1,3
Perú,Lima,Departamento,200550,207,1,2
Perú,Lima,Casa,234186,128,1,2
Perú,Piura,Casa,238280,277,3,1
Perú,La Libertad,Departamento,148018,187,2,2
Perú,Lima,Casa,184719,99,3,1
Perú,Lima,Departamento,343705,276,4,3
Perú,Lima,Departamento,208341,183,4,3
Perú,Lima,Departamento,77721,75,2,1
Perú,Piura,Departamento,173535,190,3,3
Perú,La Libertad,Departamento,149949,165,3,2
Perú,Lima,Departamento,104626,76,2,1
Perú,Piura,Casa,164644,150,2,3
Perú,Lima,Departamento,55697,50,2,3
Perú,Cusco,Departamento,103711,113,4,2
Perú,La Libertad,Casa,93842,76,2,1
Perú,La Libertad,Departamento,50541,57,2,2
Perú,La Libertad,Departamento,96843,142,1,2
Perú,Arequipa,Casa,66068,64,2,3
Perú,Lima,Casa,201695,133,2,1
Perú,Lima,Casa,428156,295,2,3
Perú,Piura,Departamento,95429,121,2,2
Perú,Lima,Departamento,236499,215,1,1
Perú,La Libertad,Casa,184968,218,2,3
Perú,Lima,Departamento,179199,125,4,3
Perú,Lima,Casa,237773,141,2,2
Perú,Lima,Casa,356975,274,1,2
Perú,Lima,Casa,303623,203,2,2
Perú,Arequipa,Casa,199222,171,2,2
Perú,Lima,Departamento,193619,153,3,3
Perú,Lima,Casa,156212,122,4,1
Perú,Cusco,Casa,136616,121,2,2
Perú,Arequipa,Departamento,47681,56,4,2
Perú,La Libertad,Casa,193552,176,1,2
Perú,Lima,Casa,477370,295,4,1
Perú,Lima,Departamento,191165,171,2,1
Perú,Lima,Departamento,130170,102,3,2
Perú,Lima,Departamento,222782,199,4,1
Perú,Lima,Casa,376408,251,1,1
Perú,Lima,Departamento,199058,146,1,2
Perú,Piura,Casa,281801,238,1,2
Perú,Piura,Casa,118075,99,4,1
Perú,Lima,Departamento,175459,147,2,3
Perú,Piura,Casa,83350,88,3,2
Perú,Piura,Casa,196407,180,4,1
Perú,Cusco,Departamento,65179,75,4,2
Perú,Lima,Casa,116811,63,3,1
Perú,La Libertad,Departamento,64720,90,4,1
Perú,Lima,Casa,412205,280,2,3
Perú,Lima,Departamento,196693,138,2,3
Perú,Cusco,Departamento,214777,242,4,1
Perú,Lima,Departamento,260225,188,2,2
Perú,Lima,Departamento,75597,59,1,1
Perú,Lima,Casa,404781,220,1,2
Perú,Lima,Departamento,204901,156,1,1
Perú,La Libertad,Casa,94645,93,3,3
Perú,Arequipa,Departamento,154923,238,2,2
Perú,Lima,Departamento,67952,69,1,3
Perú,Lima,Departamento,294736,294,1,1
Perú,Arequipa,Casa,282238,283,2,3
Perú,Lima,Casa,438051,266,1,3
Perú,Lima,Departamento,262822,220,4,2
Perú,Lima,Casa,252025,175,4,2
Perú,Lima,Departamento,81256,57,1,3
Perú,Cusco,Casa,180165,151,2,3
Perú,Cusco,Departamento,158302,168,2,2
Perú,Lima,Departamento,103280,75,4,1
Perú,Lima,Casa,231600,138,1,1
Perú,Lima,Casa,285310,191,1,1
Perú,Lima,Casa,454807,243,2,3
Perú,Piura,Departamento,126772,138,1,1
Perú,Arequipa,Departamento,232123,252,1,2
Perú,Lima,Casa,119142,68,2,1
Perú,La Libertad,Departamento,142469,158,4,2
Perú,Arequipa,Departamento,194893,262,4,2
Perú,Lima,Departamento,224715,196,1,1
Perú,Lima,Departamento,89803,84,2,3
Perú,Arequipa,Casa,277875,255,2,1
Perú,Lima,Casa,190200,121,2,1
Perú,La Libertad,Departamento,41948,61,4,1
Perú,Lima,Casa,95621,64,3,2
Perú,Cusco,Casa,180399,172,1,3
Perú,Lima,Casa,124077,96,3,1
Perú,Cusco,Departamento,44997,64,1,2
Perú,Lima,Casa,284181,174,1,2
Perú,Lima,Departamento,249853,205,4,2
Perú,Arequipa,Casa,48215,51,4,2
Perú,Lima,Departamento,72068,56,2,3
Perú,Arequipa,Departamento,161808,240,2,1
Perú,Lima,Casa,206114,133,3,2
Perú,Arequipa,Casa,243176,222,3,1
Perú,Arequipa,Casa,83988,70,1,2
Perú,Lima,Casa,398687,265,1,2
Perú,Piura,Casa,91192,98,1,2
Perú,Cusco,Casa,121133,109,1,2
Perú,La Libertad,Casa,276290,274,1,3
Perú,Lima,Casa,424348,275,1,1
Perú,Lima,Departamento,205539,192,3,3
Perú,Lima,Casa,203988,126,2,1
Perú,Piura,Departamento,48296,56,3,2
Perú,Lima,Departamento,281736,218,3,2
Perú,Lima,Casa,242945,151,3,1
Perú,Lima,Casa,502061,278,3,1
Perú,Lima,Departamento,134517,119,4,1
Perú,Arequipa,Casa,276092,237,3,1
Perú,Lima,Casa,165567,99,4,1
Perú,Lima,Casa,152398,119,4,2
Perú,Lima,Departamento,172614,147,4,2
Perú,Arequipa,Casa,222611,246,3,3
Perú,Lima,Casa,202790,155,1,3
Perú,La Libertad,Departamento,164584,193,4,3
Perú,Piura,Departamento,55280,72,4,2
Perú,Piura,Casa,313816,297,1,2
Perú,Arequipa,Casa,172946,199,3,1
Perú,Arequipa,Casa,78149,87,1,2
Perú,Lima,Departamento,183212,163,1,1
Perú,Lima,Departamento,301166,250,3,2
Perú,Lima,Casa,406574,259,3,2
Perú,Lima,Casa,193942,109,2,3
Perú,Lima,Casa,214819,131,2,2
Perú,La Libertad,Casa,134635,116,4,2
Perú,Lima,Departamento,221177,212,2,3
Perú,Lima,Casa,426823,259,1,2
Perú,Lima,Casa,149551,82,2,1
Perú,Arequipa,Casa,259658,287,3,3
Perú,Lima,Departamento,215919,190,4,1
Perú,Lima,Departamento,182053,128,4,1
Perú,Piura,Casa,184771,195,3,2
Perú,Lima,Departamento,227705,179,3,3
Perú,Lima,Departamento,249128,211,2,2
Perú,Piura,Departamento,179381,208,1,3
Perú,Lima,Departamento,201616,198,2,2
Perú,Lima,Casa,248365,193,4,3
Perú,Lima,Departamento,162029,152,1,2
Perú,Lima,Departamento,385188,278,2,1
Perú,Lima,Departamento,167957,141,3,1
Perú,Lima,Departamento,269062,232,3,1
Perú,Lima,Departamento,262337,198,2,3
Perú,Arequipa,Departamento,237627,262,1,1
Perú,Lima,Departamento,217662,222,1,3
Perú,Lima,Departamento,287923,240,4,3
Perú,Lima,Casa,437949,245,4,2
Perú,Lima,Departamento,310324,270,2,2
Perú,La Libertad,Departamento,153204,162,1,1
Perú,Piura,Casa,94153,109,1,2
Perú,Piura,Casa,274201,237,4,3
Perú,Lima,Casa,360815,236,1,3
Perú,La Libertad,Departamento,126367,137,1,1
Perú,Lima,Casa,160237,126,3,3
Perú,Cusco,Departamento,135417,201,1,1
Perú,Arequipa,Casa,109586,107,4,3
Perú,Piura,Departamento,163912,184,3,3
Perú,Lima,Departamento,194287,143,4,2
Perú,Lima,Casa,298163,161,3,1
Perú,Piura,Departamento,146037,227,4,2
Perú,Lima,Departamento,309716,218,3,2
Perú,La Libertad,Casa,175051,198,3,2
Perú,Arequipa,Departamento,183791,209,4,2
Perú,Lima,Departamento,92761,66,3,1
Perú,Lima,Departamento,148706,127,1,2
Perú,Piura,Casa,230344,261,4,3
Perú,La Libertad,Casa,188285,198,4,2
Perú,La Libertad,Departamento,56977,61,2,1
Perú,La Libertad,Departamento,159151,175,4,2
Perú,La Libertad,Casa,247286,273,2,2
Perú,Piura,Casa,119844,141,2,2
Perú,Lima,Departamento,309730,229,3,3
Perú,Arequipa,Casa,105726,93,3,1
Perú,Arequipa,Casa,49700,52,3,3
Perú,Cusco,Departamento,132447,157,4,1
Perú,Lima,Casa,294648,235,1,1
Perú,La Libertad,Casa,139640,153,4,2
Perú,Cusco,Departamento,51775,59,2,3
Perú,Arequipa,Casa,215407,218,1,2
Perú,La Libertad,Casa,121374,103,2,2
Perú,Cusco,Departamento,145703,170,4,3
Perú,La Libertad,Casa,109289,105,2,3
Perú,Lima,Casa,336784,187,3,2
Perú,Lima,Departamento,133271,103,1,2
Perú,Arequipa,Casa,275485,237,4,1
Perú,Arequipa,Casa,296786,270,4,1
Perú,Arequipa,Departamento,240087,293,2,2
Perú,Arequipa,Departamento,134646,208,3,1
Perú,Arequipa,Departamento,171644,199,4,2
Perú,Piura,Departamento,188040,208,3,1
Perú,Lima,Departamento,189269,162,2,3
Perú,Lima,Departamento,353228,269,3,1
Perú,Piura,Departamento,162707,210,4,3
Perú,Lima,Casa,170115,96,3,3
Perú,Arequipa,Casa,107231,118,1,2
Perú,Lima,Departamento,151571,156,2,2
Perú,Lima,Departamento,211031,158,3,2
Perú,La Libertad,Casa,288728,292,4,1
Perú,Lima,Departamento,173421,123,4,2
Perú,Arequipa,Casa,338247,280,3,1
Perú,La Libertad,Casa,101843,119,2,1
Perú,La Libertad,Casa,327167,266,2,2
Perú,Lima,Casa,257989,184,4,2
Perú,Lima,Casa,332319,193,2,1
Perú,La Libertad,Casa,126249,122,4,3
Perú,Lima,Casa,208242,156,4,2
Perú,Lima,Departamento,165638,119,2,3
Perú,Piura,Departamento,211451,225,2,2
Perú,Lima,Casa,325470,191,2,1
Perú,Lima,Departamento,143491,136,4,1
Perú,Lima,Departamento,167780,134,1,1
Perú,Lima,Casa,230507,166,2,1
Perú,La Libertad,Departamento,66213,82,1,1
Perú,La Libertad,Casa,79133,92,2,1
Perú,Arequipa,Casa,293501,287,1,2
Perú,Lima,Casa,126265,71,2,2
Perú,Lima,Casa,377159,228,2,3
Perú,Arequipa,Casa,110488,108,4,3
Perú,La Libertad,Casa,76106,81,4,2
Perú,Lima,Casa,259395,165,4,1
Perú,Cusco,Casa,132298,141,1,1
Perú,Arequipa,Casa,79808,75,2,1
Perú,Lima,Departamento,272796,249,2,3
Perú,Lima,Casa,126791,72,2,3
Perú,La Libertad,Departamento,42312,60,2,1
Perú,Arequipa,Departamento,108335,121,3,3
Perú,Piura,Casa,232506,259,4,2
Perú,La Libertad,Departamento,117944,129,3,3
Perú,Lima,Casa,372689,279,1,3
Perú,Lima,Departamento,266278,209,3,1
Perú,Lima,Casa,206712,159,4,1
Perú,La Libertad,Casa,207366,168,3,1
Perú,Piura,Departamento,174520,207,4,2
Perú,Piura,Departamento,201737,296,1,1
Perú,Lima,Casa,130352,74,2,2
Perú,Lima,Departamento,266960,238,1,2
Perú,Arequipa,Departamento,80724,109,3,2
Perú,La Libertad,Casa,245211,250,2,2
Perú,La Libertad,Casa,71438,79,1,2
Perú,Lima,Departamento,217967,212,1,3
Perú,Lima,Casa,205135,124,4,2
Perú,Cusco,Casa,222403,188,3,3
Perú,Lima,Departamento,65717,65,3,3
Perú,Lima,Departamento,210602,197,4,3
Perú,Lima,Departamento,150010,116,1,3
Perú,Lima,Departamento,68315,70,1,1
Perú,Cusco,Casa,330854,277,3,1
Perú,La Libertad,Departamento,185162,256,1,2
Perú,Cusco,Departamento,159421,236,4,2
Perú,Lima,Casa,467197,294,3,3
Perú,Piura,Casa,111651,133,4,2
Perú,Piura,Departamento,182019,199,3,2
Perú,Piura,Casa,79345,68,4,1
Perú,Piura,Departamento,89977,122,3,1
Perú,Lima,Departamento,297113,293,2,1
Perú,Arequipa,Casa,240617,258,4,1
Perú,Lima,Departamento,238217,191,3,1
Perú,Lima,Casa,115023,90,4,2
Perú,Cusco,Casa,162431,135,3,3
Perú,Lima,Departamento,148895,111,2,3
Perú,Lima,Casa,158971,99,1,1
Perú,Lima,Departamento,291438,244,1,1
Perú,Arequipa,Departamento,107398,117,2,1
Perú,Lima,Departamento,223878,224,2,2
Perú,La Libertad,Departamento,181419,196,1,2
Perú,Arequipa,Departamento,72152,87,1,3
Perú,Lima,Departamento,142413,141,2,1
Perú,Piura,Casa,229628,243,3,3
Perú,Piura,Casa,136176,136,2,1
Perú,Lima,Departamento,76247,61,3,3
Perú,Lima,Departamento,261856,234,1,3
Perú,Lima,Departamento,246313,225,4,1
Perú,Arequipa,Casa,81848,98,2,3
Perú,La Libertad,Departamento,109547,139,1,1
Perú,Lima,Casa,199008,156,1,1
Perú,La Libertad,Departamento,81164,90,1,3
Perú,La Libertad,Departamento,58454,90,4,3
Perú,Lima,Departamento,177171,126,1,1
Perú,Lima,Departamento,172935,125,1,1
Perú,Lima,Departamento,318602,289,2,3
Perú,Piura,Departamento,52218,57,2,3
Perú,Cusco,Departamento,172386,264,4,2
Perú,Lima,Casa,473551,271,4,2
Perú,Lima,Departamento,250879,205,1,1
Perú,Lima,Departamento,253426,192,2,3
Perú,Arequipa,Casa,291946,243,1,2
Perú,Arequipa,Departamento,113065,167,3,3
Perú,Cusco,Departamento,154178,166,2,3
Perú,Arequipa,Casa,42680,51,2,3
Perú,Lima,Departamento,108259,94,1,1
Perú,La Libertad,Departamento,214693,272,4,1
Perú,Lima,Departamento,316212,231,4,3
Perú,Lima,Departamento,315936,230,2,2
Perú,Lima,Departamento,253799,205,1,3
Perú,Lima,Departamento,93693,97,3,1
Perú,Lima,Casa,330982,210,2,1
Perú,Arequipa,Departamento,92800,105,3,3
Perú,Lima,Casa,320858,195,3,3
Perú,Lima,Casa,271133,188,2,1
Perú,Arequipa,Casa,177106,165,2,1
Perú,Lima,Departamento,225398,158,2,3
Perú,Arequipa,Departamento,35604,53,2,2
Perú,Piura,Departamento,216930,283,2,3
Perú,Lima,Departamento,80771,79,2,1
Perú,Lima,Casa,231567,150,2,2
Perú,La Libertad,Departamento,57118,78,3,2
Perú,Lima,Departamento,306684,273,4,1
Perú,Lima,Departamento,231803,190,2,1
Perú,La Libertad,Departamento,132614,180,4,1
Perú,Lima,Departamento,150666,134,4,1
Perú,Piura,Departamento,87882,117,4,3
Perú,Lima,Departamento,239512,190,3,3
Perú,La Libertad,Departamento,109973,131,1,2
Perú,Lima,Departamento,138158,134,1,1
Perú,Cusco,Casa,173865,196,3,1
Perú,Arequipa,Casa,227044,222,2,1
Perú,Cusco,Departamento,177130,269,4,1
Perú,La Libertad,Casa,106373,119,3,2
Perú,Piura,Casa,120314,101,3,3
Perú,Lima,Casa,170476,124,4,3
Perú,Lima,Departamento,288312,241,2,1
Perú,La Libertad,Casa,268416,268,3,3
Perú,La Libertad,Casa,226267,184,4,3
Perú,Lima,Casa,337890,222,1,1
Perú,La Libertad,Departamento,103343,112,3,1
Perú,Arequipa,Casa,289735,238,4,2
Perú,Lima,Departamento,343714,263,2,2
Perú,Lima,Casa,103028,70,2,1
Perú,Lima,Casa,145790,79,3,3
Perú,Piura,Casa,88248,75,3,2
Perú,Lima,Departamento,115633,85,1,3
Perú,Lima,Casa,319644,185,4,1
Perú,La Libertad,Casa,91329,84,4,3
Perú,Lima,Casa,383088,255,2,3
Perú,Lima,Departamento,122606,121,4,1
Perú,Piura,Casa,115556,94,3,2
Perú,Lima,Casa,302715,194,2,2
Perú,Lima,Casa,400337,267,3,3
Perú,Lima,Departamento,328343,244,2,2
Perú,Lima,Casa,435227,270,3,1
Perú,Arequipa,Casa,194581,230,3,1
Perú,Lima,Departamento,276193,263,3,3
Perú,La Libertad,Casa,69249,59,2,2
Perú,Lima,Casa,280040,159,4,3
Perú,Arequipa,Departamento,36343,53,3,2
Perú,Lima,Departamento,352755,255,4,2
Perú,Cusco,Departamento,194502,253,1,3
Perú,Lima,Departamento,264553,203,2,2
Perú,La Libertad,Casa,101599,99,2,1
Perú,Piura,Casa,251165,206,1,1
