distrito,precio_usd,area_m2,dormitorios,banos,cocheras
Surco,246152,140,2,1,2.0
Miraflores,148169,72,2,3,1.0
Comas,137018,176,1,1,0.0
Surco,393841,229,3,1,1.0
San Miguel,274787,221,2,2,0.0
San Martin de Porres,199011,225,2,3,
San Miguel,232787,162,1,2,0.0
Miraflores,548686,211,3,1,1.0
San Martin de Porres,78189,94,3,3,
Comas,154448,216,4,1,0.0
Comas,178268,236,2,3,1.0
Comas,98503,161,3,3,1.0
Surco,80322,49,2,3,0.0
Los Olivos,131744,116,4,3,1.0
Miraflores,280730,123,3,1,0.0
Comas,39262,55,4,2,
San Martin de Porres,87060,110,1,2,
San Isidro,455588,211,2,1,2.0
San Isidro,200464,89,2,2,0.0
Los Olivos,187163,208,2,3,0.0
San Martin de Porres,163313,210,3,2,2.0
San Miguel,272394,185,4,3,0.0
Surco,357087,199,4,1,1.0
San Miguel,136440,85,2,2,0.0
Comas,92832,133,4,2,0.0
Miraflores,314755,150,1,2,1.0
Comas,77432,102,3,1,1.0
Comas,186869,242,2,2,0.0
Los Olivos,167844,157,1,3,1.0
Surco,293979,158,3,2,0.0
San Miguel,289601,222,1,3,1.0
San Miguel,197404,162,1,2,0.0
Surco,257865,137,2,1,1.0
Los Olivos,128591,126,4,3,0.0
San Miguel,264123,212,3,2,
San Martin de Porres,65643,65,1,2,2.0
Comas,113272,154,3,2,1.0
San Martin de Porres,170275,185,1,3,0.0
Comas,92918,130,3,3,0.0
Surco,373155,209,3,2,0.0
Surco,340059,176,1,2,1.0
San Martin de Porres,102537,116,2,1,0.0
San Miguel,272593,184,2,2,0.0
San Isidro,485439,173,2,1,0.0
Surco,287161,181,1,3,0.0
San Isidro,410305,191,4,1,1.0
San Martin de Porres,74523,74,1,1,0.0
San Miguel,236344,165,2,1,1.0
Surco,334784,190,3,1,
San Isidro,183107,81,4,3,0.0
Miraflores,164676,73,1,2,1.0
Los Olivos,148427,135,3,2,0.0
Miraflores,168931,69,4,1,1.0
San Isidro,130441,54,1,1,1.0
Miraflores,365690,171,1,1,0.0
Comas,31396,44,2,1,1.0
San Martin de Porres,44469,43,3,1,1.0
Surco,380600,230,1,3,1.0
Surco,161507,81,4,1,1.0
Miraflores,277693,112,4,3,0.0
Comas,60339,79,1,2,0.0
Miraflores,559505,218,3,2,0.0
San Miguel,276368,222,1,2,1.0
Comas,108385,145,3,2,0.0
Surco,266768,157,2,3,1.0
San Miguel,210115,165,4,1,1.0
San Miguel,81299,54,3,2,1.0
San Isidro,367470,141,1,1,0.0
Comas,141088,218,4,3,0.0
Miraflores,121167,56,3,2,1.0
Miraflores,154216,75,3,2,1.0
San Martin de Porres,140998,165,4,3,1.0
Miraflores,338269,166,3,3,0.0
Los Olivos,203191,228,1,2,2.0
Comas,75019,98,4,2,
Surco,176122,110,3,2,1.0
San Miguel,115194,74,4,3,0.0
Surco,71470,40,4,3,1.0
San Isidro,445877,162,2,3,1.0
San Miguel,286552,204,3,1,1.0
Surco,315314,155,2,3,1.0
San Martin de Porres,86300,100,4,3,1.0
Miraflores,192804,89,3,2,0.0
Surco,107770,54,3,3,0.0
Los Olivos,95377,86,4,1,0.0
Los Olivos,157057,155,2,3,2.0
San Miguel,156138,117,2,3,
San Martin de Porres,157986,198,2,3,1.0
Los Olivos,147369,169,4,2,1.0
San Martin de Porres,108116,123,3,1,1.0
Miraflores,389579,161,4,2,0.0
Comas,133589,169,2,2,
San Isidro,250527,108,3,1,0.0
San Martin de Porres,210731,240,1,3,0.0
San Miguel,193053,125,3,1,1.0
Los Olivos,165815,149,3,1,1.0
San Isidro,429089,171,3,3,0.0
San Isidro,154158,67,4,2,1.0
Los Olivos,227188,247,4,1,1.0
San Martin de Porres,218907,223,1,3,0.0
Comas,160025,228,3,2,1.0
Surco,134560,69,3,3,1.0
Miraflores,339746,145,2,1,0.0
San Miguel,136414,88,1,2,0.0
Los Olivos,40900,48,3,3,1.0
Los Olivos,187247,167,4,1,0.0
Los Olivos,139850,152,3,2,0.0
Comas,146985,224,2,1,1.0
Los Olivos,271424,242,1,2,1.0
Miraflores,606180,232,3,2,0.0
San Isidro,182128,77,2,2,0.0
Surco,159899,95,2,3,0.0
Miraflores,325456,164,2,1,1.0
San Isidro,541162,218,4,3,1.0
San Martin de Porres,71477,93,1,2,1.0
Surco,110465,56,4,1,1.0
Comas,96385,147,4,2,0.0
Los Olivos,49388,55,2,2,1.0
San Martin de Porres,108108,120,4,1,1.0
San Miguel,210911,168,2,3,1.0
Miraflores,387576,173,2,1,0.0
Comas,93841,118,3,1,0.0
Comas,143063,231,2,3,1.0
Miraflores,313564,136,4,2,1.0
San Martin de Porres,187663,193,1,2,1.0
San Isidro,524853,208,2,3,1.0
Miraflores,164216,82,2,2,0.0
Comas,30683,49,4,1,1.0
Los Olivos,201957,227,3,3,0.0
Miraflores,215867,90,1,3,1.0
Los Olivos,206377,194,3,2,0.0
Miraflores,374499,169,1,3,1.0
San Isidro,486690,227,1,3,1.0
Miraflores,152049,64,2,1,0.0
San Martin de Porres,102201,127,1,1,0.0
San Isidro,409479,169,4,1,0.0
San Miguel,148418,120,2,2,1.0
Surco,226325,124,4,2,1.0
San Martin de Porres,150470,184,1,1,0.0
Miraflores,123857,56,3,2,1.0
Surco,344994,187,4,1,1.0
San Martin de Porres,106174,118,3,3,0.0
Miraflores,501793,219,2,1,1.0
Miraflores,458993,220,3,1,2.0
San Miguel,274192,200,3,3,0.0
San Isidro,258472,94,4,1,2.0
Los Olivos,43781,46,4,1,1.0
Los Olivos,99362,101,2,2,0.0
San Martin de Porres,122116,131,3,1,1.0
Los Olivos,72475,82,1,2,1.0
San Isidro,202470,84,4,1,0.0
Miraflores,575494,242,1,2,1.0
San Miguel,297411,200,2,2,0.0
San Martin de Porres,171749,195,2,1,0.0
Comas,78478,118,4,2,0.0
San Miguel,88252,59,4,2,1.0
San Miguel,167414,117,1,2,0.0
Los Olivos,273089,244,4,3,0.0
Los Olivos,151022,156,4,3,1.0
Los Olivos,136640,123,4,3,0.0
Surco,175843,108,2,1,1.0
Comas,155633,220,1,2,1.0
San Isidro,416131,193,3,2,0.0
Miraflores,369889,164,2,2,2.0
San Miguel,108692,77,1,2,0.0
Miraflores,375120,184,3,1,
San Miguel,204798,142,2,1,0.0
Los Olivos,182551,160,2,1,1.0
Miraflores,285208,137,3,3,0.0
San Isidro,383727,166,2,3,1.0
San Miguel,137610,92,4,1,1.0
Miraflores,560021,243,2,1,1.0
Los Olivos,167518,188,4,3,
Comas,116838,176,2,1,1.0
San Miguel,166406,125,2,2,2.0
San Isidro,241244,90,2,1,1.0
Los Olivos,115866,124,1,3,1.0
Miraflores,551391,223,4,2,1.0
Surco,203699,113,4,2,1.0
Miraflores,130384,64,4,2,0.0
Comas,42313,70,1,2,1.0
Miraflores,480640,214,3,3,0.0
Miraflores,404109,185,1,2,0.0
San Miguel,113324,92,3,2,1.0
Miraflores,469229,203,1,2,0.0
Surco,442236,249,3,3,1.0
Los Olivos,233516,247,1,1,2.0
Miraflores,223934,96,2,1,0.0
Surco,112130,68,2,2,1.0
Comas,90310,115,2,1,1.0
San Martin de Porres,191125,243,2,2,1.0
San Miguel,66263,55,1,3,1.0
San Martin de Porres,169225,180,1,1,1.0
San Martin de Porres,126443,149,3,3,0.0
San Miguel,261717,199,4,1,1.0
Los Olivos,94921,104,1,1,1.0
Comas,85981,124,3,3,0.0
San Martin de Porres,194192,190,3,3,0.0
San Martin de Porres,112272,145,1,1,
San Miguel,67973,48,2,3,2.0
San Martin de Porres,121505,149,1,2,1.0
Los Olivos,128985,114,1,3,0.0
San Isidro,673441,239,3,1,2.0
Comas,135333,205,2,3,0.0
Miraflores,467841,179,4,1,2.0
Comas,156781,243,1,1,1.0
San Martin de Porres,178531,185,1,3,1.0
Miraflores,340446,144,3,1,
Miraflores,530442,246,4,1,2.0
Miraflores,82837,40,4,3,0.0
Surco,234313,127,3,2,1.0
San Isidro,600793,229,1,3,1.0
San Isidro,267872,107,4,3,0.0
Los Olivos,212869,198,3,2,0.0
Comas,161054,216,3,1,1.0
Comas,45602,66,4,2,1.0
San Miguel,346977,234,1,2,0.0
Comas,99338,163,4,3,1.0
San Miguel,253974,198,4,3,0.0
Comas,128776,195,1,2,1.0
San Martin de Porres,109124,116,2,2,1.0
San Miguel,207173,139,4,3,2.0
San Isidro,460291,211,2,1,0.0
Comas,33854,49,3,1,0.0
Miraflores,377147,177,4,3,0.0
San Martin de Porres,139764,175,2,1,2.0
Los Olivos,75376,88,1,2,1.0
Comas,65723,91,3,3,1.0
San Miguel,106302,89,1,2,1.0
San Martin de Porres,74586,82,2,3,1.0
Los Olivos,107345,96,1,3,0.0
Los Olivos,152806,155,4,1,0.0
San Martin de Porres,48596,57,3,1,2.0
San Isidro,465875,170,4,3,0.0
San Isidro,397290,166,4,1,0.0
Miraflores,584689,223,3,1,2.0
San Martin de Porres,123408,126,3,3,1.0
Comas,98737,157,4,1,2.0
San Isidro,153002,66,4,3,1.0
San Isidro,310129,108,3,3,0.0
San Isidro,189480,78,2,1,0.0
San Martin de Porres,177211,197,1,3,1.0
Los Olivos,108491,108,4,2,2.0
San Isidro,186583,69,1,1,0.0
Comas,48683,71,4,1,1.0
Surco,113171,66,1,1,1.0
San Isidro,370499,148,3,2,0.0
Comas,114540,163,4,3,1.0
San Miguel,83495,57,2,2,1.0
Comas,135298,201,2,3,0.0
Comas,136766,176,3,3,0.0
Surco,201310,121,4,3,0.0
San Miguel,317912,231,3,2,0.0
Los Olivos,184544,198,2,3,1.0
San Miguel,332651,246,1,3,0.0
San Miguel,192082,145,2,3,
Miraflores,527011,233,2,1,1.0
San Miguel,162375,110,4,3,1.0
Comas,94267,158,1,2,1.0
Surco,287681,165,2,2,1.0
San Martin de Porres,163926,199,2,3,0.0
Surco,205978,115,1,2,0.0
San Miguel,232168,177,2,3,0.0
San Martin de Porres,184845,241,1,2,
San Miguel,303873,191,1,1,1.0
Los Olivos,68822,74,4,1,1.0
San Miguel,131311,85,1,1,0.0
Surco,229061,120,4,2,0.0
San Miguel,194039,131,3,3,1.0
Comas,69612,106,4,1,1.0
San Miguel,227866,142,1,1,0.0
San Miguel,81865,52,4,2,0.0
San Martin de Porres,66089,74,3,2,0.0
Comas,111470,156,2,3,1.0
Comas,78585,114,2,1,0.0
Comas,145671,199,4,1,0.0
San Miguel,313003,238,2,1,1.0
Comas,94306,130,4,2,0.0
San Miguel,175901,128,4,1,0.0
San Isidro,211499,91,1,3,1.0
Miraflores,412836,205,3,3,1.0
Miraflores,241552,118,2,3,1.0
San Isidro,121177,55,4,2,0.0
Los Olivos,178232,180,3,1,0.0
Comas,63074,84,2,2,1.0
San Martin de Porres,159926,194,3,1,
Surco,133888,77,1,3,1.0
Miraflores,176838,87,1,2,1.0
San Martin de Porres,192477,218,4,1,
San Miguel,60017,50,3,1,1.0
San Martin de Porres,80191,78,3,3,2.0
Comas,94338,121,3,3,1.0
San Miguel,214776,142,4,3,1.0
Comas,55383,90,1,2,0.0
San Martin de Porres,42252,48,1,3,1.0
Miraflores,332016,153,1,3,1.0
Los Olivos,247171,216,2,1,1.0
San Martin de Porres,123599,129,4,1,0.0
Los Olivos,56519,54,1,3,0.0
San Miguel,134516,86,3,3,1.0
San Martin de Porres,99341,105,2,2,1.0
Surco,279599,141,4,1,1.0
San Martin de Porres,194439,238,3,2,0.0
Comas,93571,124,2,2,0.0
Comas,93688,132,2,2,0.0
San Martin de Porres,118975,119,1,2,0.0
Comas,128873,190,2,2,0.0
Comas,42646,53,1,3,1.0
Surco,376825,244,3,3,1.0
San Martin de Porres,173056,172,1,3,1.0
Miraflores,184110,85,3,1,1.0
Comas,79404,113,1,3,0.0
Los Olivos,155258,164,2,2,1.0
Miraflores,316681,126,4,3,1.0
San Miguel,124597,104,1,1,1.0
Los Olivos,129592,144,3,2,1.0
San Miguel,132235,84,3,2,0.0
Surco,113421,63,4,3,2.0
San Isidro,617983,221,2,3,1.0
San Isidro,294416,118,1,3,2.0
San Martin de Porres,135516,177,1,2,2.0
Miraflores,506726,238,3,1,2.0
Miraflores,405279,200,1,3,1.0
Comas,158871,199,4,1,1.0
San Isidro,514433,227,2,1,0.0
Comas,81374,119,4,3,1.0
Los Olivos,156233,146,4,1,1.0
Miraflores,442893,217,2,1,0.0
San Miguel,202566,167,1,2,0.0
Miraflores,279294,124,3,1,1.0
Comas,163357,245,4,2,0.0
Los Olivos,103458,98,2,3,0.0
Surco,65099,41,1,2,1.0
San Miguel,249790,179,4,3,0.0
San Martin de Porres,94986,120,3,1,1.0
San Martin de Porres,69688,84,4,2,1.0
San Isidro,283724,101,2,1,
Comas,129070,173,1,2,0.0
Miraflores,452689,224,3,2,1.0
Surco,283335,153,1,2,0.0
Miraflores,481735,225,1,1,1.0
Los Olivos,226810,244,4,1,1.0
San Miguel,208780,137,3,1,0.0
San Isidro,189979,71,2,1,1.0
Surco,374249,224,2,2,0.0
Surco,385074,213,3,3,1.0
Comas,105404,176,4,3,0.0
San Miguel,135886,86,2,1,1.0
Miraflores,354368,145,3,3,1.0
San Isidro,523198,201,2,2,0.0
Comas,85245,106,2,1,
Los Olivos,79301,82,4,1,1.0
San Miguel,301617,233,2,1,2.0
San Miguel,171899,143,1,3,1.0
Los Olivos,145897,153,2,2,0.0
San Isidro,426721,150,1,3,1.0
San Martin de Porres,110675,114,3,3,
Miraflores,149768,66,2,1,1.0
Comas,169295,227,3,1,1.0
Comas,42116,55,4,1,1.0
Miraflores,394314,156,2,3,1.0
San Martin de Porres,184411,195,3,2,1.0
Miraflores,372449,156,3,1,0.0
Miraflores,492406,215,1,2,1.0
Los Olivos,87695,89,3,1,1.0
San Miguel,138346,113,2,2,0.0
Los Olivos,186913,189,4,3,1.0
Los Olivos,68295,61,4,2,1.0
San Isidro,444425,180,3,3,0.0
San Isidro,292194,118,2,3,1.0
Miraflores,149022,73,2,3,0.0
Los Olivos,223457,215,2,3,1.0
San Isidro,441232,155,1,2,2.0
San Miguel,377268,236,1,2,0.0
San Miguel,162846,116,4,3,
Los Olivos,159682,139,1,3,1.0
Los Olivos,177147,182,3,2,0.0
San Isidro,612566,231,4,3,0.0
Miraflores,522158,205,1,3,1.0
Miraflores,288638,117,1,3,0.0
Los Olivos,144442,129,1,1,1.0
San Isidro,518530,188,3,1,0.0
San Isidro,438553,166,3,3,0.0
San Miguel,296931,233,2,1,1.0
San Isidro,352060,124,1,2,0.0
Comas,130488,200,3,3,0.0
Surco,210319,126,3,3,1.0
Miraflores,336335,142,4,1,0.0
San Martin de Porres,126416,132,4,2,1.0
San Isidro,456157,169,1,1,0.0
Surco,64923,40,4,1,1.0
San Isidro,401523,154,2,2,1.0
Comas,146785,244,4,1,0.0
San Miguel,252795,198,1,2,1.0
San Miguel,67516,55,1,2,1.0
Comas,78827,128,4,3,0.0
San Miguel,216971,176,2,1,0.0
San Miguel,69560,54,2,1,1.0
Miraflores,158038,63,4,2,0.0
San Martin de Porres,83463,99,2,2,1.0
San Martin de Porres,189117,190,1,1,1.0
San Martin de Porres,164335,184,2,2,0.0
San Martin de Porres,54444,59,4,1,1.0
Miraflores,415841,190,4,2,0.0
San Isidro,565181,200,3,3,1.0
Los Olivos,158355,159,4,2,0.0
Miraflores,331470,127,2,1,0.0
San Martin de Porres,136422,166,3,2,1.0
Los Olivos,47916,51,3,1,1.0
San Isidro,427019,173,2,1,1.0
San Miguel,263754,220,2,3,1.0
San Isidro,239493,94,2,3,0.0
Comas,49844,65,3,2,1.0
Comas,110295,161,1,2,0.0
San Isidro,451553,181,4,1,0.0
Comas,87621,130,2,2,2.0
Miraflores,185413,76,4,2,1.0
Miraflores,248862,125,3,3,
Comas,38173,50,4,2,1.0
Comas,116578,186,1,1,0.0
Comas,48166,68,2,3,0.0
San Miguel,253719,171,3,2,0.0
Surco,203434,114,4,1,2.0
Surco,92384,57,2,2,1.0
Surco,359205,176,4,3,1.0
San Martin de Porres,161088,206,3,1,0.0
San Martin de Porres,169972,177,2,1,0.0
San Miguel,204056,155,1,1,0.0
San Miguel,161346,117,3,1,0.0
San Martin de Porres,190509,225,1,1,1.0
Surco,242063,134,3,1,1.0
Miraflores,100610,41,4,3,1.0
Los Olivos,188536,195,4,2,0.0
Los Olivos,135049,154,4,1,0.0
Los Olivos,83946,73,2,2,0.0
San Isidro,157128,57,4,3,0.0
Comas,141616,201,4,1,0.0
Miraflores,153346,67,4,2,0.0
Los Olivos,89266,92,1,1,0.0
San Isidro,306888,137,3,2,0.0
San Isidro,207011,76,4,3,1.0
Los Olivos,125207,142,2,2,1.0
San Miguel,333428,249,2,1,
Surco,238761,147,4,3,0.0
San Miguel,243180,178,3,1,
Comas,95572,149,1,3,1.0
Miraflores,165606,80,4,2,1.0
San Miguel,88627,64,4,3,0.0
Miraflores,511325,230,4,1,0.0
Surco,403355,245,2,2,0.0
Surco,287891,140,2,2,1.0
Los Olivos,139033,146,3,2,1.0
Miraflores,579228,240,2,2,1.0
San Miguel,336448,222,1,3,1.0
Los Olivos,182278,166,3,1,1.0
Surco,127439,72,1,2,0.0
San Isidro,199597,81,3,2,0.0
Comas,162886,246,1,3,1.0
San Miguel,280517,229,2,2,1.0
Surco,380342,215,1,2,1.0
Los Olivos,172014,175,4,2,0.0
Comas,111381,166,4,2,1.0
San Martin de Porres,41154,48,1,1,
Miraflores,249638,124,3,1,1.0
San Martin de Porres,81714,104,4,2,1.0
San Isidro,358957,152,2,1,1.0
San Isidro,617584,216,4,3,0.0
San Martin de Porres,236690,245,4,2,0.0
San Miguel,101376,69,4,3,0.0
Los Olivos,122889,126,2,1,0.0
Surco,412991,223,3,3,1.0
San Miguel,55465,46,2,2,1.0
Miraflores,545078,240,3,3,2.0
San Miguel,177357,128,1,3,0.0
San Martin de Porres,141093,153,3,3,0.0
San Isidro,165905,59,3,2,1.0
Surco,297846,192,3,1,1.0
Miraflores,296133,146,3,1,0.0
Surco,277616,138,4,3,1.0
Los Olivos,137615,148,2,2,1.0
San Isidro,244573,91,2,2,1.0
Los Olivos,184078,194,2,1,1.0
San Isidro,287043,103,4,1,0.0
Surco,271524,159,1,1,0.0
San Isidro,300356,139,4,3,0.0
San Isidro,268375,118,4,1,
Comas,141051,185,4,3,0.0
San Miguel,268915,202,1,2,1.0
San Martin de Porres,216519,249,2,2,1.0
San Miguel,187324,125,1,1,0.0
San Miguel,155444,109,1,2,1.0
Surco,472335,247,4,3,1.0
San Miguel,277567,218,2,3,0.0
Los Olivos,140039,143,4,2,
Miraflores,480838,238,3,2,0.0
Comas,113705,157,2,2,1.0
San Isidro,219396,83,3,2,
Surco,234838,123,3,3,1.0
Los Olivos,111129,98,4,2,1.0
Surco,276371,141,3,2,1.0
San Miguel,203174,140,4,1,1.0
Surco,189797,106,3,3,1.0
Los Olivos,54856,55,4,3,2.0
Comas,141082,216,3,2,0.0
Comas,113672,168,4,3,1.0
San Isidro,398692,174,2,3,1.0
San Isidro,590439,238,4,3,0.0
Comas,177897,235,3,3,2.0
Miraflores,432102,206,2,3,1.0
Surco,394321,198,3,2,1.0
Comas,38220,54,4,3,1.0
San Martin de Porres,238624,233,1,1,1.0
San Martin de Porres,203314,211,4,1,
San Martin de Porres,192878,233,2,1,0.0
