Distrito,Precio_USD,Area_m2,Cuartos
Comas,87685,122,2
Los Olivos,143762,139,3
Surco,180440,97,3
Comas,89574,122,3
San Miguel,123927,97,3
San Isidro,335945,141,3
San Martin de Porres,117930,124,3
Comas,44340,67,2
San Martin de Porres,74816,79,3
Los Olivos,127805,118,2
San Isidro,321261,142,3
Los Olivos,95484,102,3
Miraflores,250311,102,2
Surco,108167,66,3
Los Olivos,137834,144,2
Miraflores,319289,139,3
Comas,77935,107,2
Los Olivos,80128,78,3
Miraflores,329064,140,2
San Martin de Porres,98335,108,2
Comas,100049,144,3
Miraflores,307675,148,3
San Martin de Porres,48765,58,2
San Miguel,185344,140,3
Surco,122171,70,3
Los Olivos,87935,87,2
San Isidro,351113,130,2
Comas,56076,79,2
Surco,97975,57,2
San Isidro,173818,68,2
Los Olivos,130401,128,3
Surco,213394,126,3
Los Olivos,81838,88,3
San Miguel,155022,120,2
Surco,167043,94,2
Comas,57314,77,3
Miraflores,238934,100,3
Los Olivos,118353,110,3
Miraflores,207060,88,3
Comas,73628,101,3
San Martin de Porres,119999,134,2
Surco,214216,131,3
Comas,37610,58,2
Los Olivos,110526,114,3
San Miguel,74606,51,2
Los Olivos,66179,69,2
San Miguel,155966,112,2
Comas,41482,65,2
San Isidro,175245,67,3
Comas,76144,112,2
Miraflores,174133,80,2
San Isidro,353809,147,2
Surco,98581,52,3
Los Olivos,92811,87,3
San Martin de Porres,49892,53,2
San Miguel,137577,99,3
Surco,129263,67,2
Miraflores,126740,59,3
San Miguel,168847,124,2
Surco,206207,116,2
San Martin de Porres,106180,110,2
Miraflores,246332,98,2
Surco,267083,140,3
Comas,94654,128,2
Comas,86220,121,2
Miraflores,272222,131,2
Los Olivos,49338,52,2
Los Olivos,82949,82,2
San Martin de Porres,63706,75,3
Los Olivos,62519,59,3
San Miguel,81517,61,3
Los Olivos,83445,84,3
Miraflores,208914,93,2
San Isidro,150599,59,2
Miraflores,227551,102,2
San Miguel,205469,138,2
Comas,72626,115,3
Miraflores,363697,144,3
Los Olivos,68455,72,2
Miraflores,114079,52,2
San Martin de Porres,74449,89,3
Miraflores,203737,90,3
Comas,61759,86,2
Los Olivos,122145,122,3
Miraflores,270183,111,3
Los Olivos,93158,90,2
Surco,102423,56,2
Miraflores,141148,61,2
San Martin de Porres,50517,59,2
San Miguel,82102,55,2
San Isidro,284554,110,3
San Martin de Porres,93762,111,3
San Isidro,314881,136,2
San Isidro,285443,114,2
Comas,99448,147,3
San Martin de Porres,97555,113,2
San Martin de Porres,81569,83,2
Los Olivos,146086,137,2
Comas,101585,138,2
San Martin de Porres,83295,99,3
Comas,61875,88,3
Los Olivos,113824,117,3
Los Olivos,100534,93,2
San Isidro,201572,88,2
San Isidro,199125,77,2
San Martin de Porres,116585,136,3
Los Olivos,95091,97,3
Surco,279106,141,2
San Miguel,166626,126,3
San Martin de Porres,122290,130,3
San Martin de Porres,119419,130,3
Comas,87532,124,3
Surco,256314,147,3
Los Olivos,102332,94,3
San Martin de Porres,67303,78,3
San Martin de Porres,83562,92,3
Los Olivos,97971,100,3
Los Olivos,117452,113,2
Surco,111534,64,3
Los Olivos,74670,81,3
San Isidro,225332,88,2
Miraflores,283269,115,2
San Martin de Porres,101803,116,3
San Martin de Porres,82888,86,3
Comas,65895,94,2
Miraflores,230905,99,3
Los Olivos,98225,92,2
San Isidro,355641,130,3
Los Olivos,60227,57,2
Surco,98172,53,2
San Miguel,106454,73,3
San Isidro,195583,85,3
Comas,42278,61,3
San Isidro,293023,129,3
Los Olivos,81797,75,3
Comas,65813,88,3
Los Olivos,104511,104,2
Miraflores,282791,133,2
San Martin de Porres,92297,106,2
Miraflores,326697,144,3
Surco,247610,142,2
San Miguel,133958,104,2
Los Olivos,107439,107,2
Surco,143725,88,3
Surco,207893,106,3
San Miguel,88121,63,3
Los Olivos,149968,139,2
San Martin de Porres,75752,84,2
San Miguel,80165,63,3
Surco,132145,73,2
San Martin de Porres,61806,71,2
San Martin de Porres,107740,113,3
Miraflores,171345,79,2
San Martin de Porres,54162,65,2
Surco,155474,83,3
Surco,213075,122,3
Comas,33398,52,2
Los Olivos,133639,141,2
Los Olivos,134197,138,3
Comas,76046,113,2
Miraflores,309464,145,3
San Isidro,255921,112,3
Comas,69141,107,2
Miraflores,298851,136,2
San Miguel,106040,77,3
Miraflores,309498,129,2
Los Olivos,45224,50,2
San Miguel,128330,87,3
San Isidro,137154,50,3
Comas,86773,137,2
Comas,84429,123,3
Miraflores,236934,106,3
San Martin de Porres,125594,128,2
San Miguel,126247,99,2
Miraflores,170320,76,2
San Miguel,123168,80,2
Miraflores,195233,90,3
Miraflores,239006,100,2
Surco,84636,52,2
San Martin de Porres,119270,140,2
Miraflores,319152,147,2
Surco,237684,130,3
San Isidro,309751,115,2
San Isidro,341139,143,2
Surco,123034,74,3
San Isidro,140036,58,3
Miraflores,227866,106,2
San Miguel,110948,73,2
Comas,54209,78,3
Comas,48836,76,3
Surco,199005,120,2
Comas,43301,64,2
